"isin","coupon_serie_code","in_catalog"
"TRT070628K46","TP.TRT070628K46.ORAN","False"
"TRT170528K11","TP.TRT170528K11.ORAN","False"
"TRT170528T12","TP.TRT170528T12.ORAN","False"
"TRT170528T20","TP.TRT170528T20.ORAN","False"
"TRT170528A13","TP.TRT170528A13.ORAN","False"
"TRT170528K29","TP.TRT170528K29.ORAN","False"
"TRT100528K18","TP.TRT100528K18.ORAN","True"
"TRT030528K17","TP.TRT030528K17.ORAN","False"
"TRT190428K10","TP.TRT190428K10.ORAN","False"
"TRT190428K36","TP.TRT190428K36.ORAN","False"
"TRT120428K17","TP.TRT120428K17.ORAN","False"
"TRT050428K16","TP.TRT050428K16.ORAN","True"
"TRT050428K24","TP.TRT050428K24.ORAN","False"
"TRT150328K15","TP.TRT150328K15.ORAN","False"
"TRT150328K31","TP.TRT150328K31.ORAN","False"
"TRT150328K49","TP.TRT150328K49.ORAN","False"
"TRT150328K56","TP.TRT150328K56.ORAN","False"
"TRT080328A16","TP.TRT080328A16.ORAN","False"
"TRT080328K14","TP.TRT080328K14.ORAN","False"
"TRT080328T15","TP.TRT080328T15.ORAN","False"
"TRT080328T23","TP.TRT080328T23.ORAN","False"
"TRT080328K22","TP.TRT080328K22.ORAN","True"
"TRT080328K30","TP.TRT080328K30.ORAN","False"
"TRT080328K48","TP.TRT080328K48.ORAN","False"
"TRT010328T12","TP.TRT010328T12.ORAN","False"
"TRT010328T20","TP.TRT010328T20.ORAN","False"
"TRT010328A13","TP.TRT010328A13.ORAN","False"
"TRT010328K11","TP.TRT010328K11.ORAN","True"
"TRT160228T16","TP.TRT160228T16.ORAN","False"
"TRT160228T24","TP.TRT160228T24.ORAN","False"
"TRT160228A17","TP.TRT160228A17.ORAN","False"
"TRT160228K23","TP.TRT160228K23.ORAN","True"
"TRT160228K49","TP.TRT160228K49.ORAN","False"
"TRT190128K21","TP.TRT190128K21.ORAN","False"
"TRT190128K47","TP.TRT190128K47.ORAN","False"
"TRT190128T14","TP.TRT190128T14.ORAN","False"
"TRT190128T22","TP.TRT190128T22.ORAN","True"
"TRT190128A15","TP.TRT190128A15.ORAN","False"
"TRT190128K54","TP.TRT190128K54.ORAN","False"
"TRT120128K28","TP.TRT120128K28.ORAN","False"
"TRT050128K19","TP.TRT050128K19.ORAN","False"
"TRT151227K31","TP.TRT151227K31.ORAN","False"
"TRT081227K14","TP.TRT081227K14.ORAN","True"
"TRT081227K22","TP.TRT081227K22.ORAN","False"
"TRT081227K30","TP.TRT081227K30.ORAN","False"
"TRT081227K48","TP.TRT081227K48.ORAN","False"
"TRT011227K29","TP.TRT011227K29.ORAN","False"
"TRT171127A16","TP.TRT171127A16.ORAN","False"
"TRT171127K14","TP.TRT171127K14.ORAN","False"
"TRT171127K22","TP.TRT171127K22.ORAN","True"
"TRT171127T15","TP.TRT171127T15.ORAN","False"
"TRT171127T23","TP.TRT171127T23.ORAN","False"
"TRT171127K30","TP.TRT171127K30.ORAN","False"
"TRT101127K11","TP.TRT101127K11.ORAN","False"
"TRT031127K10","TP.TRT031127K10.ORAN","False"
"TRT201027K10","TP.TRT201027K10.ORAN","False"
"TRT201027K36","TP.TRT201027K36.ORAN","False"
"TRT201027K44","TP.TRT201027K44.ORAN","False"
"TRT131027T10","TP.TRT131027T10.ORAN","False"
"TRT131027T28","TP.TRT131027T28.ORAN","False"
"TRT131027A11","TP.TRT131027A11.ORAN","False"
"TRT131027K19","TP.TRT131027K19.ORAN","False"
"TRT131027K27","TP.TRT131027K27.ORAN","False"
"TRT061027K18","TP.TRT061027K18.ORAN","False"
"TRT061027K26","TP.TRT061027K26.ORAN","False"
"TRT150927K10","TP.TRT150927K10.ORAN","False"
"TRT150927T11","TP.TRT150927T11.ORAN","False"
"TRT150927T29","TP.TRT150927T29.ORAN","False"
"TRT150927A12","TP.TRT150927A12.ORAN","False"
"TRT150927K28","TP.TRT150927K28.ORAN","False"
"TRT150927K44","TP.TRT150927K44.ORAN","True"
"TRT150927K51","TP.TRT150927K51.ORAN","False"
"TRT150927K69","TP.TRT150927K69.ORAN","False"
"TRT080927K19","TP.TRT080927K19.ORAN","False"
"TRT080927K27","TP.TRT080927K27.ORAN","False"
"TRT080927K35","TP.TRT080927K35.ORAN","False"
"TRT080927K43","TP.TRT080927K43.ORAN","False"
"TRT010927K16","TP.TRT010927K16.ORAN","False"
"TRT180827K26","TP.TRT180827K26.ORAN","False"
"TRT180827K42","TP.TRT180827K42.ORAN","False"
"TRT110827A17","TP.TRT110827A17.ORAN","False"
"TRT110827K15","TP.TRT110827K15.ORAN","False"
"TRT110827T16","TP.TRT110827T16.ORAN","False"
"TRT110827T24","TP.TRT110827T24.ORAN","False"
"TRT210727K22","TP.TRT210727K22.ORAN","False"
"TRT210727K48","TP.TRT210727K48.ORAN","True"
"TRT210727K55","TP.TRT210727K55.ORAN","False"
"TRT140727K21","TP.TRT140727K21.ORAN","False"
"TRT140727A15","TP.TRT140727A15.ORAN","False"
"TRT140727K39","TP.TRT140727K39.ORAN","False"
"TRT140727K47","TP.TRT140727K47.ORAN","True"
